Time; Serial.print output 
38693047.150000;  2
39700566.950000;  2
40697310.856000;  2
41705967.073000;  2
42695899.764000;  2
43695291.825000;  2
44702293.103000;  0
45694403.653000;  1
46702219.153000;  1
47695123.902000;  1
48703652.472000;  1
49695115.022000;  2
50707863.694000;  2
51697893.994000;  2
52705535.722000;  2
53698849.740000;  2
54705578.551000;  2
55699074.701000;  0
56706691.431999;  1
57697480.357001;  1
58705474.454000;  2
59698795.799000;  2
60707746.719001;  2
61698157.390000;  2
62706734.403001;  2
63698157.052000;  2
64706112.857000;  0
65699211.072000;  1
66706525.830000;  1
67699175.571000;  2
68706177.898000;  2
69698815.982000;  2
70707287.867000;  2
71698204.324000;  0
72707841.398999;  1
73700514.562000;  1
74693355.996000;  2
75702225.078000;  2
76694442.627001;  2
77703400.265000;  2
78694019.130000;  2
79705701.102000;  0
80693180.128000;  1
81705226.159000;  1
82693131.791000;  1
83701915.511000;  1
84694261.771000;  1
85700515.752000;  1
86693757.477000;  2
