Time; Serial.print output 
13429894.583002;  200.26; 16.78
13685922.316000;  200.26; 13.90
13926427.879002;  200.26; 10.90
14183419.537001;  200.26; 8.14
14437947.664001;  200.26; 6.19
14678957.660000;  200.26; 4.85
14934931.980000;  200.26; 3.48
15174921.452000;  200.26; 2.79
15429950.420000;  200.26; 2.10
15669942.176001;  200.26; 1.40
15925910.005001;  181.69; 2.47
16165892.077000;  162.58; 4.37
16421860.412001;  141.78; 5.18
16679123.867001;  121.83; 6.54
16917860.248001;  101.88; 7.90
17175511.715000;  81.92; 9.26
17413902.963001;  63.35; 9.97
17669910.898001;  46.71; 8.16
17909867.706001;  35.05; 6.36
18167512.065002;  26.17; 4.32
18423104.098001;  19.20; 1.50
18663017.407001;  14.76; 0.66
18918217.219002;  11.70; -0.14
19157857.127001;  8.64; -0.93
19413868.014000;  6.42; -1.18
19654455.444000;  4.74; -1.93
19911447.015001;  3.36; -1.29
20151082.451000;  2.52; -1.83
20407246.101000;  1.97; -0.65
20664379.730000;  1.13; -0.85
20901903.362001;  1.13; -0.85
21159231.293001;  1.13; -0.85
21398947.436001;  1.13; -0.50
21653919.375002;  0.29; -1.05
21893908.380001;  0.29; -1.05
22150575.707001;  0.29; -1.05
22405973.713001;  0.29; -1.05
22646618.664001;  0.29; -1.05
22902564.386000;  0.29; -1.05
23143500.299000;  0.29; -1.05
23397857.250000;  0.29; -1.05
23639047.694002;  0.29; -1.05
23894481.069000;  0.29; -1.05
24134140.127001;  0.29; -1.05
24389877.237001;  0.29; -1.05
24647821.358002;  0.29; -1.05
24885837.203001;  0.29; -1.05
25143010.762001;  0.29; -1.05
25384359.558001;  0.29; -1.05
25639839.247000;  205.78; 7.47
25878319.856001;  205.78; 17.43
26135437.799002;  205.78; 20.70
26390333.440001;  205.78; 19.14
26632703.210001;  206.49; 15.59
26886135.600002;  206.49; 12.10
27125922.842001;  206.49; 9.46
27384383.529001;  206.49; 6.91
27621929.901001;  206.49; 5.25
27879053.239000;  206.49; 3.89
28119760.631002;  206.49; 3.20
28374209.630001;  206.49; 2.17
28631570.847000;  206.49; 1.82
28869895.653000;  206.49; 1.12
29127473.043001;  185.96; 2.96
29365906.572001;  166.86; 3.41
29621893.589001;  146.33; 5.25
29861857.987001;  127.21; 7.11
30119317.254000;  107.39; 8.25
30373857.576002;  86.16; 9.37
30614227.808001;  67.04; 11.23
30869871.737001;  50.79; 8.56
31109865.399000;  38.06; 6.99
31365897.727001;  28.88; 4.78
31606140.472000;  21.83; 2.58
31863392.333002;  16.19; 0.75
32102647.657000;  12.67; -0.35
32357919.585001;  9.14; -1.10
32615132.743002;  7.03; -1.50
32853919.926001;  5.62; -1.18
33112116.945002;  3.51; -1.92
33349895.977001;  2.79; -0.88
33607322.615000;  2.09; -1.25
33848093.965002;  2.09; -1.25
34102564.017000;  0.68; -0.92
34357859.021000;  0.68; -0.92
34599791.287001;  0.68; -0.58
34855451.729002;  0.68; -0.58
35094832.242001;  0.68; -0.58
35351960.264000;  0.68; -0.23
35589898.560001;  0.68; -0.23
35847739.261000;  -0.02; -0.95
36085953.786001;  -0.02; -0.95
36342237.670000;  -0.02; -0.95
36597927.708000;  -0.02; -0.95
36840120.927002;  -0.02; -0.95
37093893.230001;  -0.02; -0.95
37345670.608002;  -0.02; -0.95
37590836.864000;  -0.02; -0.95
37829989.908001;  -0.02; -0.95
38088509.051001;  -0.02; -0.95
38341869.663002;  292.00; 16.62
38583983.143000;  292.00; 20.82
38839395.252001;  292.01; 19.08
39077979.590002;  292.01; 16.50
39334436.675001;  293.01; 13.02
39574717.188002;  293.01; 10.18
39830529.691000;  293.01; 7.69
40069944.128000;  293.01; 6.05
40327680.973001;  293.01; 4.37
40581983.607000;  293.01; 3.34
40822648.305000;  293.01; 2.65
41079538.275000;  293.01; 1.95
41318291.387001;  293.01; 1.61
41582434.393002;  271.99; 3.46
41814734.233002;  253.98; 5.34
42069911.014002;  233.97; 6.20
42326963.379000;  213.96; 8.07
42567537.496000;  194.95; 9.94
42821863.079002;  173.93; 11.79
