Time; Serial.print output 
t; x; y; theta
49050862.979000; -0.37; 1.69; -179.13
49067330.804000; -0.37; 1.69; -179.13
49082139.165000; -0.37; 1.69; -179.13
49099124.876000; -0.37; 1.69; -179.13
49116788.099000; -0.37; 1.69; -179.13
49130841.875000; -0.37; 1.69; -179.13
49147330.076000; -0.37; 1.69; -179.13
49162144.350000; -0.37; 1.69; -179.13
49178123.476000; -0.37; 1.69; -179.13
49194964.583000; -0.37; 1.69; -179.13
49211145.713000; -0.37; 1.69; -179.13
49226135.621000; -0.37; 1.69; -179.13
49242949.208000; -0.37; 1.69; -179.13
49260319.303000; -0.37; 1.69; -179.13
49274132.059000; -0.37; 1.69; -179.13
49290591.865000; -0.37; 1.69; -179.13
49307655.896000; -0.37; 1.69; -179.13
49322138.360000; -0.37; 1.69; -179.13
49338283.995000; -0.37; 1.69; -179.13
49354866.070000; -0.37; 1.69; -179.13
49371251.248000; -0.37; 1.69; -179.13
49388811.286000; -0.37; 1.69; -179.13
49402242.714000; -0.37; 1.69; -179.13
49418586.735000; -0.37; 1.69; -179.13
49435225.546000; -0.37; 1.69; -179.13
49452121.074000; -0.37; 1.69; -179.13
49466694.896000; -0.37; 1.69; -179.13
49483994.275000; -0.37; 1.69; -179.13
49498134.810000; -0.37; 1.69; -179.13
49514477.326000; -0.37; 1.69; -179.13
49530177.295000; -0.37; 1.69; -179.13
49546172.018000; -0.37; 1.69; -179.13
49563170.507000; -0.37; 1.69; -179.13
49579969.910000; -0.37; 1.69; -179.13
49594156.715000; -0.37; 1.69; -179.13
49612137.301000; -0.37; 1.69; -179.13
49626154.445000; -0.37; 1.69; -179.13
49643404.077000; -0.37; 1.69; -179.13
49660078.273000; -0.37; 1.69; -179.13
49674490.308000; -0.37; 1.69; -179.13
49690976.495000; -0.37; 1.69; -179.13
49706850.493000; -0.37; 1.69; -179.13
49723700.079000; -0.37; 1.69; -179.13
49738145.396000; -0.37; 1.69; -179.13
49755222.137000; -0.37; 1.69; -179.13
49770287.537000; -0.37; 1.69; -179.13
49787302.745000; -0.37; 1.69; -179.13
49802133.878000; -0.37; 1.69; -179.13
49818421.662000; -0.37; 1.69; -179.13
49834999.050000; -0.37; 1.69; -179.13
49851784.299000; -0.37; 1.69; -179.13
49869248.172000; -0.37; 1.69; -179.13
49882312.522000; -0.37; 1.69; -179.13
49898751.395000; -0.37; 1.69; -179.13
49915114.074000; -0.37; 1.69; -179.13
49932485.139000; -0.37; 1.69; -179.13
49946306.921000; -0.37; 1.69; -179.13
49963328.520000; -0.37; 1.69; -179.13
49978132.388000; -0.37; 1.69; -179.13
49994915.806000; -0.37; 1.69; -179.13
50011503.920000; -0.37; 1.69; -179.13
50026113.985000; -0.37; 1.69; -179.13
50042522.198000; -0.37; 1.69; -179.13
50065949.319000; -0.37; 1.69; -179.13
50076515.103000; -0.37; 1.69; -179.13
50090289.291000; -0.37; 1.69; -179.13
50107326.377000; -0.37; 1.69; -179.13
50122138.111000; -0.37; 1.69; -179.13
50138195.786000; -0.37; 1.69; -179.13
50155384.438000; -0.37; 1.69; -179.13
50171841.252000; -0.37; 1.69; -179.13
50186142.088000; -0.37; 1.69; -179.13
50203073.711000; -0.37; 1.69; -179.13
50219218.087000; -0.37; 1.69; -179.13
50236054.843000; -0.37; 1.69; -179.13
50251111.749000; -0.37; 1.69; -179.13
50266207.584000; -0.37; 1.69; -179.13
50283590.811000; -0.37; 1.69; -179.13
50301874.453000; -0.37; 1.69; -179.13
50314873.362000; -0.37; 1.69; -179.13
50330171.848000; -0.37; 1.69; -179.13
50346730.305000; -0.37; 1.69; -179.13
50364266.579000; -0.37; 1.69; -179.13
50378146.068000; -0.37; 1.69; -179.13
50395391.572000; -0.37; 1.69; -179.13
50410497.543000; -0.37; 1.69; -179.13
50426194.262000; -0.37; 1.69; -179.13
50443004.180000; -0.37; 1.69; -179.13
50459952.049000; -0.37; 1.69; -179.13
50474524.808000; -0.37; 1.69; -179.13
50492827.216000; -0.37; 1.69; -179.13
50506300.681000; -0.37; 1.69; -179.13
50523331.193000; -0.37; 1.69; -179.13
50538559.602000; -0.37; 1.69; -179.13
50561835.196000; -0.37; 1.69; -179.13
50572155.888000; -0.37; 1.69; -179.13
50590990.336000; -0.37; 1.69; -179.13
50608603.416000; -0.37; 1.69; -179.13
50621322.748000; -0.37; 1.69; -179.13
50635470.360000; -0.37; 1.69; -179.13
50650162.080000; -0.37; 1.69; -179.13
50667861.977000; -0.37; 1.69; -179.13
50683328.530000; -0.37; 1.69; -179.13
50698149.447000; -0.37; 1.69; -179.13
